Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,1661.0
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,5609.0
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,5905.0
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,11514.0
2018,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,434.0
2018,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,285.0
2018,Outdoor Persons Registered on Poor Relief Programme,Portland,,per 100.000 population,917.0
2018,Outdoor Persons Registered on Poor Relief Programme,,per 100.000 population,St Mary,456.0
2018,Outdoor Persons Registered on Poor Relief Programme,,per 100.000 population,St Ann,519.0
2018,Outdoor Persons Registered on Poor Relief Programme,Trelawny,,per 100.000 population,584.0
2018,Outdoor Persons Registered on Poor Relief Programme,St James,,per 100.000 population,741.0
2018,Outdoor Persons Registered on Poor Relief Programme,Hanover,,per 100.000 population,706.0
2018,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,,per 100.000 population,259.0
2018,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,,per 100.000 population,270.0
2018,Outdoor Persons Registered on Poor Relief Programme,Manchester,,per 100.000 population,314.0
2018,Outdoor Persons Registered on Poor Relief Programme,Clarendon,,per 100.000 population,316.0
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,,per 100.000 population,319.0
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,422.0
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,250.0
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,204.0
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,454.0
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,40.0
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,25.0
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,65.0
2017,Indoor Persons Registered on Poor Relief Programme,Portland,Male,Number,34.0
2017,Indoor Persons Registered on Poor Relief Programme,Portland. Female,Number,19,
2017,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,53.0
2017,Indoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,63.0
2017,Indoor Persons Registered on Poor Relief Programme,St Mary Female,Number,35,
2017,Indoor Persons Registered on Poor Relief Programme,St Mary Total,Number,98,
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,63.0
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,48.0
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,111.0
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,29.0
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,23.0
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,52.0
2017,Indoor Persons Registered on Poor Relief Programme,St James,Male,Number,43.0
2017,Indoor Persons Registered on Poor Relief Programme,St James,Female,Number,11.0
2017,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,54.0
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,31.0
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,22.0
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,53.0
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,42.0
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,27.0
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,69.0
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,28.0
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,25.0
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,53.0
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,45.0
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,40.0
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,85.0
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,74.0
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,51.0
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,125.0
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,87.0
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,46.0
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,133.0
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,829.0
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,579.0
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1405.0
